player_name,first_name,middle_name,last_name,nick_name,suffix,player_url,player_id
Andre Robertson,Andre,NULL,Robertson,NULL,NULL,https://www.baseball-almanac.com/players/player.php?p=roberan01,55
Andre Thornton,Andre,NULL,Thornton,NULL,NULL,https://www.baseball-almanac.com/players/player.php?p=thornan01,56
Andres Galarraga,Andres,NULL,Galarraga,NULL,NULL,https://www.baseball-almanac.com/players/player.php?p=galaran01,57
Andres Mora,Andres,NULL,Mora,NULL,NULL,https://www.baseball-almanac.com/players/player.php?p=moraan01,58
Andres Thomas,Andres,NULL,Thomas,NULL,NULL,https://www.baseball-almanac.com/players/player.php?p=thomaan01,59
Andy Allanson,Andy,NULL,Allanson,NULL,NULL,https://www.baseball-almanac.com/players/player.php?p=allanan01,60
Andy Benes,Andy,NULL,Benes,NULL,NULL,https://www.baseball-almanac.com/players/player.php?p=benesan01,61
Andy Etchebarren,Andy,NULL,Etchebarren,NULL,NULL,https://www.baseball-almanac.com/players/player.php?p=etchean01,62
Andy Hassler,Andy,NULL,Hassler,NULL,NULL,https://www.baseball-almanac.com/players/player.php?p=hasslan01,63
Andy Hawkins,Andy,NULL,Hawkins,NULL,NULL,https://www.baseball-almanac.com/players/player.php?p=hawkian01,64
Andy Kosco,Andy,NULL,Kosco,NULL,NULL,https://www.baseball-almanac.com/players/player.php?p=koscoan01,65
Andy McGaffigan,Andy,NULL,McGaffigan,NULL,NULL,https://www.baseball-almanac.com/players/player.php?p=mcgafan01,66
Andy Messersmith,Andy,NULL,Messersmith,NULL,NULL,https://www.baseball-almanac.com/players/player.php?p=messean01,67
Andy Replogle,Andy,NULL,Replogle,NULL,NULL,https://www.baseball-almanac.com/players/player.php?p=reploan01,68
Andy Rincon,Andy,NULL,Rincon,NULL,NULL,https://www.baseball-almanac.com/players/player.php?p=rincoan01,69
Andy Van Slyke,Andy,NULL,Van Slyke,NULL,NULL,https://www.baseball-almanac.com/players/player.php?p=vanslan01,70
Angel Bravo,Angel,NULL,Bravo,NULL,NULL,https://www.baseball-almanac.com/players/player.php?p=bravoan01,71
Angel Mangual,Angel,NULL,Mangual,NULL,NULL,https://www.baseball-almanac.com/players/player.php?p=manguan01,72
Angel Salazar,Angel,NULL,Salazar,NULL,NULL,https://www.baseball-almanac.com/players/player.php?p=salazan01,73
