card_year,card_num,card_stat_year,card_desc,card_notes,card_player_url,card_player_id,,,
1984,324,1983,Alejandro Pena,,https://www.baseball-almanac.com/players/player.php?p=penaal01,38,,Alejandro Penahttps://www.baseball-almanac.com/players/player.php?p=penaal01,
1986,563,1985,Alejandro Sanchez,,https://www.baseball-almanac.com/players/player.php?p=sanchal01,39,,Alejandro Sanchezhttps://www.baseball-almanac.com/players/player.php?p=sanchal01,
1976,606,1975,Alex Grammas,Milwaukee Brewers Checklist Card,https://www.baseball-almanac.com/players/player.php?p=grammal01,40,,Alex Grammashttps://www.baseball-almanac.com/players/player.php?p=grammal01,
1970,115,1969,Alex Johnson,,https://www.baseball-almanac.com/players/player.php?p=johnsal01,41,,Alex Johnsonhttps://www.baseball-almanac.com/players/player.php?p=johnsal01,
1980,537,1979,Alex Trevino,Rookie Card,https://www.baseball-almanac.com/players/player.php?p=trevial01,42,,Alex Trevinohttps://www.baseball-almanac.com/players/player.php?p=trevial01,
1988,101,1987,Alf Anderson,,https://www.baseball-almanac.com/players/player.php?p=anderal01,43,,Alf Andersonhttps://www.baseball-almanac.com/players/player.php?p=anderal01,
1987,642,1986,Alfonso Pulido,Al on Card,https://www.baseball-almanac.com/players/player.php?p=pulidal01,44,,Alfonso Pulidohttps://www.baseball-almanac.com/players/player.php?p=pulidal01,
1980,558,1979,Alfredo Griffin,,https://www.baseball-almanac.com/players/player.php?p=griffal01,45,,Alfredo Griffinhttps://www.baseball-almanac.com/players/player.php?p=griffal01,
1987,336,1986,Allan Anderson,Rookie Card,https://www.baseball-almanac.com/players/player.php?p=anderal02,46,,Allan Andersonhttps://www.baseball-almanac.com/players/player.php?p=anderal02,
1984,347,1983,Allan Ramirez,,https://www.baseball-almanac.com/players/player.php?p=ramiral01,47,,Allan Ramirezhttps://www.baseball-almanac.com/players/player.php?p=ramiral01,
1980,413,1979,Allen Ripley,,https://www.baseball-almanac.com/players/player.php?p=ripleal01,48,,Allen Ripleyhttps://www.baseball-almanac.com/players/player.php?p=ripleal01,
1987,529,1986,Alvaro Espinoza,Rookie Card,https://www.baseball-almanac.com/players/player.php?p=espinal01,49,,Alvaro Espinozahttps://www.baseball-almanac.com/players/player.php?p=espinal01,
1970,524,1969,Alvin Dark,,https://www.baseball-almanac.com/players/player.php?p=darkal01,50,,Alvin Darkhttps://www.baseball-almanac.com/players/player.php?p=darkal01,
1985,145,1984,Alvin Davis,,https://www.baseball-almanac.com/players/player.php?p=davisal01,51,,Alvin Davishttps://www.baseball-almanac.com/players/player.php?p=davisal01,
1970,354,1969,Amos Otis,,https://www.baseball-almanac.com/players/player.php?p=otisam01,52,,Amos Otishttps://www.baseball-almanac.com/players/player.php?p=otisam01,
1985,43,1984,Andre David,,https://www.baseball-almanac.com/players/player.php?p=davidan01,53,,Andre Davidhttps://www.baseball-almanac.com/players/player.php?p=davidan01,
1978,72,1977,Andre Dawson,,https://www.baseball-almanac.com/players/player.php?p=dawsoan01,54,,Andre Dawsonhttps://www.baseball-almanac.com/players/player.php?p=dawsoan01,
1983,281,1982,Andre Robertson,,https://www.baseball-almanac.com/players/player.php?p=roberan01,55,,Andre Robertsonhttps://www.baseball-almanac.com/players/player.php?p=roberan01,
1975,39,1974,Andre Thornton,,https://www.baseball-almanac.com/players/player.php?p=thornan01,56,,Andre Thorntonhttps://www.baseball-almanac.com/players/player.php?p=thornan01,
1987,272,1986,Andres Galarraga,,https://www.baseball-almanac.com/players/player.php?p=galaran01,57,,Andres Galarragahttps://www.baseball-almanac.com/players/player.php?p=galaran01,
1977,646,1976,Andres Mora,,https://www.baseball-almanac.com/players/player.php?p=moraan01,58,,Andres Morahttps://www.baseball-almanac.com/players/player.php?p=moraan01,
1987,296,1986,Andres Thomas,Rookie Card,https://www.baseball-almanac.com/players/player.php?p=thomaan01,59,,Andres Thomashttps://www.baseball-almanac.com/players/player.php?p=thomaan01,
1987,436,1986,Andy Allanson,Rookie Card,https://www.baseball-almanac.com/players/player.php?p=allanan01,60,,Andy Allansonhttps://www.baseball-almanac.com/players/player.php?p=allanan01,
1989,437,1988,Andy Benes,#1 Draft Pick,https://www.baseball-almanac.com/players/player.php?p=benesan01,61,,Andy Beneshttps://www.baseball-almanac.com/players/player.php?p=benesan01,
1970,213,1969,Andy Etchebarren,,https://www.baseball-almanac.com/players/player.php?p=etchean01,62,,Andy Etchebarrenhttps://www.baseball-almanac.com/players/player.php?p=etchean01,
1975,261,1974,Andy Hassler,Rookie Card,https://www.baseball-almanac.com/players/player.php?p=hasslan01,63,,Andy Hasslerhttps://www.baseball-almanac.com/players/player.php?p=hasslan01,
1984,778,1983,Andy Hawkins,,https://www.baseball-almanac.com/players/player.php?p=hawkian01,64,,Andy Hawkinshttps://www.baseball-almanac.com/players/player.php?p=hawkian01,
1970,535,1969,Andy Kosco,,https://www.baseball-almanac.com/players/player.php?p=koscoan01,65,,Andy Koscohttps://www.baseball-almanac.com/players/player.php?p=koscoan01,
1984,31,1983,Andy McGaffigan,,https://www.baseball-almanac.com/players/player.php?p=mcgafan01,66,,Andy McGaffiganhttps://www.baseball-almanac.com/players/player.php?p=mcgafan01,
1970,430,1969,Andy Messersmith,,https://www.baseball-almanac.com/players/player.php?p=messean01,67,,Andy Messersmithhttps://www.baseball-almanac.com/players/player.php?p=messean01,
1979,427,1978,Andy Replogle,Rookie Card,https://www.baseball-almanac.com/players/player.php?p=reploan01,68,,Andy Reploglehttps://www.baseball-almanac.com/players/player.php?p=reploan01,
1982,135,1981,Andy Rincon,,https://www.baseball-almanac.com/players/player.php?p=rincoan01,69,,Andy Rinconhttps://www.baseball-almanac.com/players/player.php?p=rincoan01,
1984,206,1983,Andy Van Slyke,,https://www.baseball-almanac.com/players/player.php?p=vanslan01,70,,Andy Van Slykehttps://www.baseball-almanac.com/players/player.php?p=vanslan01,
1970,283,1969,Angel Bravo,,https://www.baseball-almanac.com/players/player.php?p=bravoan01,71,,Angel Bravohttps://www.baseball-almanac.com/players/player.php?p=bravoan01,
1972,62,1971,Angel Mangual,,https://www.baseball-almanac.com/players/player.php?p=manguan01,72,,Angel Mangualhttps://www.baseball-almanac.com/players/player.php?p=manguan01,
1985,154,1984,Angel Salazar,,https://www.baseball-almanac.com/players/player.php?p=salazan01,73,,Angel Salazarhttps://www.baseball-almanac.com/players/player.php?p=salazan01,
1972,672,1971,Archie Reynolds,,https://www.baseball-almanac.com/players/player.php?p=reynoar01,74,,Archie Reynoldshttps://www.baseball-almanac.com/players/player.php?p=reynoar01,
1978,13,1977,Art Howe,Rookie Card,https://www.baseball-almanac.com/players/player.php?p=howear01,75,,Art Howehttps://www.baseball-almanac.com/players/player.php?p=howear01,
1970,137,1969,Art Shamsky,,https://www.baseball-almanac.com/players/player.php?p=shamsar01,76,,Art Shamskyhttps://www.baseball-almanac.com/players/player.php?p=shamsar01,
1983,342,1982,Atlee Hammaker,,https://www.baseball-almanac.com/players/player.php?p=hammaat01,77,,Atlee Hammakerhttps://www.baseball-almanac.com/players/player.php?p=hammaat01,
1979,444,1978,Aurelio Lopez,Rookie Card,https://www.baseball-almanac.com/players/player.php?p=lopezau01,78,,Aurelio Lopezhttps://www.baseball-almanac.com/players/player.php?p=lopezau01,
1971,129,1970,Aurelio Monteagudo,,https://www.baseball-almanac.com/players/player.php?p=monteau01,79,,Aurelio Monteagudohttps://www.baseball-almanac.com/players/player.php?p=monteau01,
1970,228,1969,Aurelio Rodriguez,,https://www.baseball-almanac.com/players/player.php?p=rodriau01,80,,Aurelio Rodriguezhttps://www.baseball-almanac.com/players/player.php?p=rodriau01,
1987,216,1986,B.J. Surhoff,Rookie Card,https://www.baseball-almanac.com/players/player.php?p=surhob01,81,,B.J. Surhoffhttps://www.baseball-almanac.com/players/player.php?p=surhob01,
1976,345,1975,Babe Ruth,All-Time Greats Card,https://www.baseball-almanac.com/players/player.php?p=ruthba01,82,,Babe Ruthhttps://www.baseball-almanac.com/players/player.php?p=ruthba01,
1975,174,1974,Bake McBride,,https://www.baseball-almanac.com/players/player.php?p=mcbriba01,83,,Bake McBridehttps://www.baseball-almanac.com/players/player.php?p=mcbriba01,
1974,453,1973,Balor Moore,,https://www.baseball-almanac.com/players/player.php?p=mooreba02,84,,Balor Moorehttps://www.baseball-almanac.com/players/player.php?p=mooreba02,
1985,243,1984,Barbaro Garbey,,https://www.baseball-almanac.com/players/player.php?p=garbeba01,85,,Barbaro Garbeyhttps://www.baseball-almanac.com/players/player.php?p=garbeba01,
1987,320,1986,Barry Bonds,Rookie Card,https://www.baseball-almanac.com/players/player.php?p=bondsba01,86,,Barry Bondshttps://www.baseball-almanac.com/players/player.php?p=bondsba01,
1978,242,1977,Barry Bonnell,Rookie Card,https://www.baseball-almanac.com/players/player.php?p=bonneba01,87,,Barry Bonnellhttps://www.baseball-almanac.com/players/player.php?p=bonneba01,
