card_desc,card_notes,card_player_url,dups,player_id
Aurelio Monteagudo,,https://www.baseball-almanac.com/players/player.php?p=monteau01,,78
Aurelio Rodriguez,,https://www.baseball-almanac.com/players/player.php?p=rodriau01,,79
B.J. Surhoff,Rookie Card,https://www.baseball-almanac.com/players/player.php?p=surhob01,,80
Bake McBride,,https://www.baseball-almanac.com/players/player.php?p=mcbriba01,,81
Balor Moore,,https://www.baseball-almanac.com/players/player.php?p=mooreba02,,82
Barbaro Garbey,,https://www.baseball-almanac.com/players/player.php?p=garbeba01,,83
Barry Bonds,Rookie Card,https://www.baseball-almanac.com/players/player.php?p=bondsba01,,84
Barry Bonnell,Rookie Card,https://www.baseball-almanac.com/players/player.php?p=bonneba01,,85
Barry Evans,,https://www.baseball-almanac.com/players/player.php?p=evansba01,,86
Barry Foote,,https://www.baseball-almanac.com/players/player.php?p=footeba01,,87
Barry Jones,Rookie Card,https://www.baseball-almanac.com/players/player.php?p=jonesba01,,88
Barry Larkin,Rookie Card,https://www.baseball-almanac.com/players/player.php?p=larkiba01,,89
Barry Lersch,,https://www.baseball-almanac.com/players/player.php?p=lerscba01,,90
Barry Lyons,,https://www.baseball-almanac.com/players/player.php?p=lyonsba01,,91
Barry Moore,,https://www.baseball-almanac.com/players/player.php?p=mooreba01,,92
Bart Johnson,,https://www.baseball-almanac.com/players/player.php?p=johnsba01,,93
Ben Hayes,,https://www.baseball-almanac.com/players/player.php?p=hayesbe01,,94
Ben McDonald,Rookie Card,https://www.baseball-almanac.com/players/player.php?p=mcdonbe01,,95
Ben Oglivie,,https://www.baseball-almanac.com/players/player.php?p=oglivbe01,,96
Benito Santiago,Record Breaker,https://www.baseball-almanac.com/players/player.php?p=santibe01,,97
Benny Ayala,,https://www.baseball-almanac.com/players/player.php?p=ayalabe01,,98
Benny Distefano,,https://www.baseball-almanac.com/players/player.php?p=distebe01,,99
Bernie Allen,,https://www.baseball-almanac.com/players/player.php?p=allenbe01,,100
Bernie Carbo,,https://www.baseball-almanac.com/players/player.php?p=carbobe01,,101
Bernie Williams,Rookie Card,https://www.baseball-almanac.com/players/player.php?p=willibe02,,102
Bert Blyleven,Rookie Card,https://www.baseball-almanac.com/players/player.php?p=blylebe01,,103
Bert Campaneris,,https://www.baseball-almanac.com/players/player.php?p=campabe01,,104
Bert Roberge,,https://www.baseball-almanac.com/players/player.php?p=roberbe01,,105
Biff Pocoroba,Rookie Card,https://www.baseball-almanac.com/players/player.php?p=pocorbi01,,106
