bills_card_cert,bills_card_spec,bills_card_num,bills_card_year,bills_card_psa_desc,bills_card_grade,bills_card_pop,bills_card_pop_higher,bills_card_stat_year,bills_card_player_id
16826927,101723390,339,1972,RON COOK,9,119,31,1971,2239
21750086,101724050,405,1972,RON FAIRLY,8,109,44,1971,2242
16826773,101727630,763,1972,RON HANSEN,8,139,45,1971,2246
25520713,101724690,469,1972,RON HERBEL,8,88,83,1971,2248
23654561,101721100,110,1972,RON HUNT,8,204,162,1971,2250
18451105,101723630,363,1972,RON KLIMKOWSKI,9,75,12,1971,2255
20444086,101723670,367,1972,RON PERRANOSKI,8.5,7,110,1971,2259
24583994,101727870,787,1972,RON REED,8,132,47,1971,2261
25520717,101725550,555,1972,RON SANTO,8,223,126,1971,2265
81353648,101725560,556,1972,RON SANTO IA,8,144,53,1971,2265
21639117,101725280,528,1972,RON STONE,8,91,44,1971,2269
20463086,101722340,234,1972,RON TAYLOR,8,154,56,1971,2271
90317112,101720770,77,1972,RON THEOBALD,8,138,99,1971,2272
11050750,101720820,82,1972,RON WOODS,8,154,67,1971,2275
40587791,101720080,8,1972,RON SWOBODA,8,110,52,1971,2270
21753197,101723290,329,1972,ROY FOSTER,8,144,95,1971,2282
24492387,101723400,340,1972,ROY WHITE,8,138,74,1971,2290
12515644,101720990,99,1972,ROSS GRIMSLEY,9,63,4,1971,2279
11907294,101726560,656,1972,RUDY MAY,8,119,57,1971,2294
4545365,101726430,643,1972,RUSS GIBSON,8,102,49,1971,2298
16370772,101726500,650,1972,SAL BANDO,9,44,5,1971,2307
16324456,101723480,348,1972,SAL BANDO,8,114,38,1971,2307
25520754,101727200,720,1972,SAM MCDOWELL,9,58,7,1971,2314
25248918,101722530,253,1972,SANDY ALOMAR,8,149,79,1971,2318
22292373,101722020,202,1972,SCIPIO SPINKS,8,158,93,1971,2322
31420170,101721171,118,1972,"CLEO JAMES YELLOW UNDER ""C"" AND ""S""",8,109,54,1971,2353
21750075,101721180,118,1972,SKIP LOCKWOOD,8,139,58,1971,2353
20429816,101722900,290,1972,SONNY SIEBERT,8,164,146,1971,2356
40610929,101723580,358,1972,SPARKY ANDERSON,8,215,94,1971,2357
23119620,101722590,259,1972,SPARKY LYLE,8,214,150,1971,2358
22893713,101723180,318,1972,SONNY JACKSON,8,104,84,1971,2355
22701874,101726620,662,1972,STAN BAHNSEN,8,141,44,1971,2360
90167380,101723310,331,1972,STAN SWANSON,9,88,10,1971,2368
30776992,101720090,9,1972,STAN WILLIAMS,8,143,58,1971,2371
21751148,101723330,333,1972,STEVE BARBER,9,85,15,1971,2375
22893712,101723200,320,1972,STEVE BLASS,8,108,56,1971,2377
22255881,101722290,229,1972,WORLD SERIES GAME 7,8,161,63,1971,2377
40337432,101722440,244,1972,STEVE BRAUN,8,125,82,1971,2379
16268843,101720780,78,1972,STEVE ARLIN,9,80,16,1971,2372
25520744,101726580,658,1972,STEVE DUNNING,8,92,28,1971,2390
16325994,101727510,751,1972,STEVE CARLTON TR,8,480,126,1971,2383
22884021,101724200,420,1972,STEVE CARLTON,9,107,7,1971,2383
25463963,101726860,686,1972,STEVE GARVEY,8,518,125,1971,2395
23808226,101727660,766,1972,STEVE HAMILTON,8,108,28,1971,2397
17645395,101726150,615,1972,STEVE HARGAN,8.5,8,101,1971,2398
14022569,101726830,683,1972,STEVE HOVLEY,8,103,26,1971,2400
22038648,101720730,73,1972,STEVE HUNTZ,8,141,93,1971,2402
60044749,101721460,146,1972,STEVE KEALEY,8,171,97,1971,2404
21750095,101724670,467,1972,STEVE KLINE,8,91,30,1971,2407
11420978,101726780,678,1972,STEVE LUEBBER,9,78,12,1971,2411
11403994,101722610,261,1972,STEVE MINGORI,8,145,74,1971,2414
20459173,101723070,307,1972,STEVE RENKO,8.5,8,109,1971,2420
14670092,101723080,308,1972,STEVE RENKO IA,8,83,45,1971,2420
25977912,101723270,327,1972,STEVE STONE,9,76,10,1971,2427
11314497,101722890,289,1972,SYD OBRIEN,9,119,27,1971,2434
17272669,101720240,24,1972,TED FORD,8,121,62,1971,2439
25192245,101725190,519,1972,TED ABERNATHY,8,92,31,1971,2437
25520718,101725440,544,1972,TED MARTINEZ,8,109,54,1971,2441
27430248,101721540,154,1972,TED SIMMONS,9,68,6,1971,2444
14175683,101720230,23,1972,TED KUBIAK,8,149,74,1971,2440
20593375,101725140,514,1972,TED SIZEMORE,8,103,38,1971,2445
20277518,101726140,614,1972,TED UHLAENDER,8,122,59,1971,2446
31190909,101725100,510,1972,TED WILLIAMS,8,290,69,1971,2447
17673720,101726280,628,1972,TERRY CROWLEY,8,125,114,1971,2451
15877638,101725390,539,1972,TERRY FORSTER,8,152,152,1971,2453
6375287,101723770,377,1972,TERRY HARMON,8,73,27,1971,2455
25339720,101724410,441,1972,THURMAN MUNSON,8,690,189,1971,2469
25132778,101724420,442,1972,THURMAN MUNSON IA,8,253,96,1971,2469
90058185,101724610,461,1972,TIM CULLEN,8,105,67,1971,2477
20395963,101727070,707,1972,TIM FOLI,8,185,97,1971,2479
25520762,101727080,708,1972,TIM FOLI IA,8,95,26,1971,2479
14957000,101721390,139,1972,TIM MCCARVER,8.5,7,75,1971,2486
81445075,101724270,427,1972,TITO FUENTES,8,94,55,1971,2496
15017950,101724280,428,1972,TITO FUENTES IA,8.5,3,75,1971,2496
25436540,101721040,104,1972,TOBY HARRAH,8,116,61,1971,2498
11365486,101722480,248,1972,TOM BRADLEY,8,141,88,1971,2505
3690604,101722460,246,1972,TOM BURGMEIER,8,127,75,1971,2510
24907439,101722070,207,1972,TOM EGAN,8,173,113,1971,2519
19333749,101726090,609,1972,TOM GRIEVE,8,159,75,1971,2524
19791793,101721750,175,1972,TOM HALLER,8,144,69,1971,2527
40162834,101721760,176,1972,TOM HALLER IA,8,87,54,1971,2527
15888513,101724170,417,1972,TOM HALL,8,104,69,1971,2526
23478594,101720970,97,1972,TOM KELLEY,8,143,128,1971,2536
11290155,101723540,354,1972,TOM MURPHY,8,152,114,1971,2540
25339743,101724450,445,1972,TOM SEAVER,8,394,77,1971,2551
16461499,101724460,446,1972,TOM SEAVER IA,8,271,104,1971,2551
31076897,101723470,347,1972,YOUNG TOM SEAVER,9,99,5,1971,2551
23238944,101724180,418,1972,TOM SHOPAY,8,114,135,1971,2552
20950688,101722390,239,1972,TOM TIMMERMANN,8.5,6,26,1971,2554
31304901,101724770,477,1972,TOM PHOEBUS,9,58,9,1971,2546
25977911,101722450,245,1972,TOMMIE AGEE,9,55,5,1971,2562
15888590,101720410,41,1972,TOMMY DAVIS,8,148,69,1971,2568
17733521,101720420,42,1972,TOMMY DAVIS IA,8,166,80,1971,2568
11177442,101724550,455,1972,TOMMY HARPER,8,123,51,1971,2572
20854501,101722040,204,1972,TOMMY HELMS,8,126,67,1971,2573
24755988,101722640,264,1972,TOMMY JOHN,8,143,77,1971,2575
24355127,101727670,767,1972,TOM MCCRAW,8,128,52,1971,2577
25248927,101724000,400,1972,TONY OLIVA,8,218,99,1971,2591
30479359,101720800,80,1972,TONY PEREZ,8,418,155,1971,2593
18560616,101727790,779,1972,TONY CLONINGER,9,64,7,1971,2583
25520708,101724510,451,1972,TONY LARUSSA,8,156,89,1971,2589
30100028,101725110,511,1972,TONY TAYLOR,9,50,3,1971,2597
25520678,101721630,163,1972,TUG MCGRAW,8,156,75,1971,2603
12440802,101721640,164,1972,TUG MCGRAW IA,9,67,5,1971,2603
30968811,101721350,135,1972,VADA PINSON,8,142,61,1971,2609
22708219,101727850,785,1972,VIC DAVALILLO,8,129,61,1971,2615
31301340,101724990,499,1972,VICENTE ROMO,9,86,16,1971,2618
25520677,101721690,169,1972,VIDA BLUE,8.5,9,142,1971,2620
90299710,101721700,170,1972,VIDA BLUE IA,8,86,27,1971,2620
11819578,101720840,84,1972,VINCE COLBERT,9,78,4,1971,2621
21197532,101720150,15,1972,WALT WILLIAMS,8,137,77,1971,2636
31335766,101727490,749,1972,WALTER ALSTON,8,278,90,1971,2637
26752387,101725180,518,1972,WAYNE GARRETT,8,72,23,1971,2644
17469328,101725810,581,1972,WADE BLASINGAME,9,58,4,1971,2625
20080153,101725450,545,1972,WAYNE GRANGER,8,100,85,1971,2645
90230264,101727620,762,1972,WAYNE SIMPSON,9,103,6,1971,2649
31733007,101725530,553,1972,WILBUR WOOD,8,99,105,1971,2657
15058223,101725540,554,1972,WILBUR WOOD IA,8.5,9,122,1971,2657
19441410,101723420,342,1972,WILBUR WOOD,8,100,55,1971,2657
22871719,101722650,265,1972,WES PARKER,8,175,146,1971,2653
21639978,101726690,669,1972,WILLIE CRAWFORD,9,61,11,1971,2663
18400699,101723900,390,1972,WILLIE DAVIS,8,153,79,1971,2664
90574407,101724940,494,1972,WILLIE HORTON,9,64,6,1971,2667
1736230,101727500,750,1972,WILLIE HORTON,8,159,103,1971,2667
1560477,101720490,49,1972,WILLIE MAYS,8,1327,334,1971,2668
40270863,101720500,50,1972,WILLIE MAYS IA,8,211,41,1971,2668
17314327,101722800,280,1972,WILLIE MCCOVEY,9,184,10,1971,2669
25520747,101726900,690,1972,WILLIE MONTANEZ,9,88,15,1971,2671
19773255,101724470,447,1972,WILLIE STARGELL,8,478,149,1971,2675
22987514,101724480,448,1972,WILLIE STARGELL IA,8,154,64,1971,2675
20968337,101723430,343,1972,WILLIE STARGELL,9,131,21,1971,2675
6501782,101723570,357,1972,WOODIE FRYMAN,9,98,12,1971,2681
20765405,101720010,1,1972,PIRATES TEAM,8,282,83,1971,
25339815,101720040,4,1972,CHECKLIST 1-132,8,163,36,1971,
19448615,101720140,14,1972,72 PHILLIE ROOKIES,8.5,7,44,1971,
25520672,101720210,21,1972,BRAVES TEAM,8,235,106,1971,
22292465,101720280,28,1972,72 TWINS ROOKIES,8,200,84,1971,
18906672,101720610,61,1972,CUBS ROOKIES,8,175,75,1971,
25354201,101720710,71,1972,ANGELS TEAM,8,179,103,1971,
25526624,101720850,85,1972,N.L.BATTING LEADERS,8,106,41,1971,
30148104,101720860,86,1972,A.L. BATTING LEADERS,8,238,113,1971,
30134726,101720870,87,1972,N.L. R.B.I. LEADERS,8,361,148,1971,
11122986,101720880,88,1972,A.L. R.B.I. LEADERS,8,224,85,1971,
16114350,101720890,89,1972,N.L. HR LEADERS,8,400,127,1971,
25436606,101720900,90,1972,AL H.R. LEADERS,8,298,145,1971,
16000667,101720910,91,1972,N.L. E.R.A. LEADERS,8.5,11,103,1971,
25520670,101720920,92,1972,A.L. E.R.A. LEADERS,8,207,114,1971,
30134727,101720930,93,1972,N.L. PITCHING LDRS,8,225,92,1971,
23781069,101720940,94,1972,A.L. PITCHING LEADERS,8,144,41,1971,
25438723,101720950,95,1972,N.L. K.O. LEADERS,8,150,42,1971,
25520671,101720960,96,1972,A.L. STRIKEOUT LEADERS,8,114,65,1971,
25371893,101720790,79,1972,RED SOX ROOKIE STARS,8,1400,293,1971,
81881288,101721010,101,1972,ASTROS ROOKIES,9,152,11,1971,
40374748,101721030,103,1972,CHECKLIST #133-263,8,316,224,1971,
90137871,101721060,106,1972,BREWERS TEAM,8,162,113,1971,
40083681,101721240,124,1972,YANKEES ROOKIES,9,107,15,1971,
14438761,101721410,141,1972,METS ROOKIES,9,131,18,1971,
30222243,101721560,156,1972,TWINS TEAM,9,114,14,1971,
21750127,101721620,162,1972,BREWERS ROOKIES,8,207,93,1971,
8032476,101721880,188,1972,FRANK LUCCHESI,8,158,113,1971,
25520673,101721920,192,1972,CUBS TEAM,8,174,97,1971,
81809777,101721980,198,1972,DODGERS ROOKIES,8,213,113,1971,
11241490,101722130,213,1972,ANGELS ROOKIES,8,105,55,1971,
22409554,101722210,221,1972,NL PLAYOFFS,8,143,47,1971,
81073719,101722220,222,1972,AL PLAYOFFS,9,98,2,1971,
90457929,101722240,224,1972,WORLD SERIES GAME 2,8,137,44,1971,
18858273,101722280,228,1972,WORLD SERIES GAME 6,8,100,42,1971,
20822526,101722300,230,1972,WORLD SERIES,8,136,48,1971,
31085445,101722320,232,1972,GIANTS ROOKIES,9,116,17,1971,
25520684,101722370,237,1972,YANKEES TEAM,8,332,204,1971,
1490946,101722511,251,1972,CHECKLIST #264-394 SMALL PRINT ON FRONT,9,149,9,1971,
24985041,101722512,251,1972,CHECKLIST #264-394 LARGE PRINT ON FRONT,9,48,12,1971,
11278399,101722570,257,1972,TIGERS ROOKIES,8,121,44,1971,
17377053,101722620,262,1972,PADRES TEAM,9,159,31,1971,
11567268,101722680,268,1972,AS ROOKIES,8,111,110,1971,
5209265,101722820,282,1972,ASTROS TEAM,8,179,189,1971,
31085437,101723160,316,1972,CARDINALS ROOKIES,9,104,16,1971,
30785602,101723230,323,1972,EARL WEAVER,8,143,64,1971,
25520696,101723280,328,1972,RED SOX TEAM,8,162,58,1971,
30131981,101723340,334,1972,RANGERS ROOKIES,9,148,11,1971,
11416814,101723510,351,1972,BRAVES ROOKIES,9,100,13,1971,
