player_name,player_firstname,player_middlename,player_lastname,player_suffix,player_nickname,player_url,player_id_load
Andy McGaffigan,Andy,,McGaffigan,,,https://www.baseball-almanac.com/players/player.php?p=mcgafan01,65
Andy Messersmith,Andy,,Messersmith,,,https://www.baseball-almanac.com/players/player.php?p=messean01,66
Andy Replogle,Andy,,Replogle,,,https://www.baseball-almanac.com/players/player.php?p=reploan01,67
Andy Rincon,Andy,,Rincon,,,https://www.baseball-almanac.com/players/player.php?p=rincoan01,68
Andy Van Slyke,Andy,,Van Slyke,,,https://www.baseball-almanac.com/players/player.php?p=vanslan01,69
Angel Bravo,Angel,,Bravo,,,https://www.baseball-almanac.com/players/player.php?p=bravoan01,70
Angel Mangual,Angel,,Mangual,,,https://www.baseball-almanac.com/players/player.php?p=manguan01,71
Angel Salazar,Angel,,Salazar,,,https://www.baseball-almanac.com/players/player.php?p=salazan01,72
Archie Reynolds,Archie,,Reynolds,,,https://www.baseball-almanac.com/players/player.php?p=reynoar01,73
Art Howe,Art,,Howe,,,https://www.baseball-almanac.com/players/player.php?p=howear01,74
Art Shamsky,Art,,Shamsky,,,https://www.baseball-almanac.com/players/player.php?p=shamsar01,75
Atlee Hammaker,Atlee,,Hammaker,,,https://www.baseball-almanac.com/players/player.php?p=hammaat01,76
Aurelio Lopez,Aurelio,,Lopez,,,https://www.baseball-almanac.com/players/player.php?p=lopezau01,77
Aurelio Monteagudo,Aurelio,,Monteagudo,,,https://www.baseball-almanac.com/players/player.php?p=monteau01,78
Aurelio Rodriguez,Aurelio,,Rodriguez,,,https://www.baseball-almanac.com/players/player.php?p=rodriau01,79
B.J. Surhoff,B.J.,,Surhoff,,,https://www.baseball-almanac.com/players/player.php?p=surhob01,80
Bake McBride,Bake,,McBride,,,https://www.baseball-almanac.com/players/player.php?p=mcbriba01,81
Balor Moore,Balor,,Moore,,,https://www.baseball-almanac.com/players/player.php?p=mooreba02,82
Barbaro Garbey,Barbaro,,Garbey,,,https://www.baseball-almanac.com/players/player.php?p=garbeba01,83
Barry Bonds,Barry,,Bonds,,,https://www.baseball-almanac.com/players/player.php?p=bondsba01,84
Barry Bonnell,Barry,,Bonnell,,,https://www.baseball-almanac.com/players/player.php?p=bonneba01,85
Barry Evans,Barry,,Evans,,,https://www.baseball-almanac.com/players/player.php?p=evansba01,86
Barry Foote,Barry,,Foote,,,https://www.baseball-almanac.com/players/player.php?p=footeba01,87
Barry Jones,Barry,,Jones,,,https://www.baseball-almanac.com/players/player.php?p=jonesba01,88
Barry Larkin,Barry,,Larkin,,,https://www.baseball-almanac.com/players/player.php?p=larkiba01,89
Barry Lersch,Barry,,Lersch,,,https://www.baseball-almanac.com/players/player.php?p=lerscba01,90
Barry Lyons,Barry,,Lyons,,,https://www.baseball-almanac.com/players/player.php?p=lyonsba01,91
Barry Moore,Barry,,Moore,,,https://www.baseball-almanac.com/players/player.php?p=mooreba01,92
Bart Johnson,Bart,,Johnson,,,https://www.baseball-almanac.com/players/player.php?p=johnsba01,93
Ben Hayes,Ben,,Hayes,,,https://www.baseball-almanac.com/players/player.php?p=hayesbe01,94
Ben McDonald,Ben,,McDonald,,,https://www.baseball-almanac.com/players/player.php?p=mcdonbe01,95
Ben Oglivie,Ben,,Oglivie,,,https://www.baseball-almanac.com/players/player.php?p=oglivbe01,96
Benito Santiago,Benito,,Santiago,,,https://www.baseball-almanac.com/players/player.php?p=santibe01,97
Benny Ayala,Benny,,Ayala,,,https://www.baseball-almanac.com/players/player.php?p=ayalabe01,98
Benny Distefano,Benny,,Distefano,,,https://www.baseball-almanac.com/players/player.php?p=distebe01,99
Bernie Allen,Bernie,,Allen,,,https://www.baseball-almanac.com/players/player.php?p=allenbe01,100
Bernie Carbo,Bernie,,Carbo,,,https://www.baseball-almanac.com/players/player.php?p=carbobe01,101
Bernie Williams,Bernie,,Williams,,,https://www.baseball-almanac.com/players/player.php?p=willibe02,102
Bert Blyleven,Bert,,Blyleven,,,https://www.baseball-almanac.com/players/player.php?p=blylebe01,103
Bert Campaneris,Bert,,Campaneris,,,https://www.baseball-almanac.com/players/player.php?p=campabe01,104
Bert Roberge,Bert,,Roberge,,,https://www.baseball-almanac.com/players/player.php?p=roberbe01,105
Biff Pocoroba,Biff,,Pocoroba,,,https://www.baseball-almanac.com/players/player.php?p=pocorbi01,106
Bill Almon,Bill,,Almon,,,https://www.baseball-almanac.com/players/player.php?p=almonbi01,107
Bill Atkinson,Bill,,Atkinson,,,https://www.baseball-almanac.com/players/player.php?p=atkinbi01,108
Bill Bean,Bill,,Bean,,,https://www.baseball-almanac.com/players/player.php?p=beanbi01,109
Bill Bonham,Bill,,Bonham,,,https://www.baseball-almanac.com/players/player.php?p=bonhabi01,110
Bill Buckner,Bill,,Buckner,,,https://www.baseball-almanac.com/players/player.php?p=bucknbi01,111
Bill Burbach,Bill,,Burbach,,,https://www.baseball-almanac.com/players/player.php?p=burbabi01,112
Bill Butler,Bill,,Butler,,,https://www.baseball-almanac.com/players/player.php?p=butlebi02,113
Bill Butler,Bill,,Butler,,,https://www.baseball-almanac.com/players/player.php?p=butlebi01,114
Bill Campbell,Bill,,Campbell,,,https://www.baseball-almanac.com/players/player.php?p=campbbi02,115
Bill Castro,Bill,,Castro,,,https://www.baseball-almanac.com/players/player.php?p=castrbi01,116
Bill Caudill,Bill,,Caudill,,,https://www.baseball-almanac.com/players/player.php?p=caudibi01,117
Bill Champion,Bill,,Champion,,,https://www.baseball-almanac.com/players/player.php?p=champbi01,118
Bill Dawley,Bill,,Dawley,,,https://www.baseball-almanac.com/players/player.php?p=dawlebi01,119
Bill Dillman,Bill,,Dillman,,,https://www.baseball-almanac.com/players/player.php?p=dillmbi01,120
Bill Doran,Bill,,Doran,,,https://www.baseball-almanac.com/players/player.php?p=doranbi01,121
Bill Doran,Bill,,Doran,,,https://www.baseball-almanac.com/players/player.php?p=doranbi02,122
Bill Fahey,Bill,,Fahey,,,https://www.baseball-almanac.com/players/player.php?p=faheybi01,123
Bill Freehan,Bill,,Freehan,,,https://www.baseball-almanac.com/players/player.php?p=freehbi01,124
Bill Gardner,Bill,,Gardner,,,https://www.baseball-almanac.com/players/player.php?p=gardnbi01,125
Bill Gogolewski,Bill,,Gogolewski,,,https://www.baseball-almanac.com/players/player.php?p=gogolbi01,126
Bill Greif,Bill,,Greif,,,https://www.baseball-almanac.com/players/player.php?p=greifbi01,127
Bill Gullickson,Bill,,Gullickson,,,https://www.baseball-almanac.com/players/player.php?p=gullibi01,128
Bill Hands,Bill,,Hands,,,https://www.baseball-almanac.com/players/player.php?p=handsbi01,129
Bill Heath,Bill,,Heath,,,https://www.baseball-almanac.com/players/player.php?p=heathbi01,130
Bill Krueger,Bill,,Krueger,,,https://www.baseball-almanac.com/players/player.php?p=kruegbi01,131
Bill Landrum,Bill,,Landrum,,,https://www.baseball-almanac.com/players/player.php?p=landrbi01,132
Bill Laskey,Bill,,Laskey,,,https://www.baseball-almanac.com/players/player.php?p=laskebi01,133
Bill Laxton,Bill,,Laxton,,,https://www.baseball-almanac.com/players/player.php?p=laxtobi01,134
Bill Lee,Bill,,Lee,,,https://www.baseball-almanac.com/players/player.php?p=leebi03,135
Bill Lee,Bill,,Lee,,,https://www.baseball-almanac.com/players/player.php?p=leebi02,136
Bill Long,Bill,,Long,,,https://www.baseball-almanac.com/players/player.php?p=longbi01,137
Bill Madlock,Bill,,Madlock,,,https://www.baseball-almanac.com/players/player.php?p=madlobi01,138
Bill Mazeroski,Bill,,Mazeroski,,,https://www.baseball-almanac.com/players/player.php?p=mazerbi01,139
Bill Melton,Bill,,Melton,,,https://www.baseball-almanac.com/players/player.php?p=meltobi01,140
Bill Mooneyham,Bill,,Mooneyham,,,https://www.baseball-almanac.com/players/player.php?p=moonebi01,141
Bill Nahorodny,Bill,,Nahorodny,,,https://www.baseball-almanac.com/players/player.php?p=nahorbi01,142
Bill North,Bill,,North,,,https://www.baseball-almanac.com/players/player.php?p=northbi01,143
Bill Parsons,Bill,,Parsons,,,https://www.baseball-almanac.com/players/player.php?p=parsobi01,144
Bill Pecota,Bill,,Pecota,,,https://www.baseball-almanac.com/players/player.php?p=pecotbi01,145
Bill Plummer,Bill,,Plummer,,,https://www.baseball-almanac.com/players/player.php?p=plummbi01,146
Bill Rigney,Bill,,Rigney,,,https://www.baseball-almanac.com/players/player.php?p=rignebi01,147
Bill Robinson,Bill,,Robinson,,,https://www.baseball-almanac.com/players/player.php?p=robinbi02,148
Bill Russell,Bill,,Russell,,,https://www.baseball-almanac.com/players/player.php?p=russebi01,149
Bill Scherrer,Bill,,Scherrer,,,https://www.baseball-almanac.com/players/player.php?p=scherbi01,150
Bill Schroeder,Bill,,Schroeder,,,https://www.baseball-almanac.com/players/player.php?p=schrobi01,151
Bill Sharp,Bill,,Sharp,,,https://www.baseball-almanac.com/players/player.php?p=sharpbi01,152
Bill Singer,Bill,,Singer,,,https://www.baseball-almanac.com/players/player.php?p=singebi01,153
Bill Stein,Bill,,Stein,,,https://www.baseball-almanac.com/players/player.php?p=steinbi02,154
Bill Stoneman,Bill,,Stoneman,,,https://www.baseball-almanac.com/players/player.php?p=stonebi01,155
Bill Sudakis,Bill,,Sudakis,,,https://www.baseball-almanac.com/players/player.php?p=sudakbi01,156
Bill Swaggerty,Bill,,Swaggerty,,,https://www.baseball-almanac.com/players/player.php?p=swaggbi01,157
Bill Swift,Bill,,Swift,,,https://www.baseball-almanac.com/players/player.php?p=swiftbi02,158
Bill Travers,Bill,,Travers,,,https://www.baseball-almanac.com/players/player.php?p=travebi01,159
Bill Voss,Bill,,Voss,,,https://www.baseball-almanac.com/players/player.php?p=vossbi01,160
Bill Wegman,Bill,,Wegman,,,https://www.baseball-almanac.com/players/player.php?p=wegmabi01,161
Bill Wilkinson,Bill,,Wilkinson,,,https://www.baseball-almanac.com/players/player.php?p=wilkibi01,162
Bill Wilson,Bill,,Wilson,,,https://www.baseball-almanac.com/players/player.php?p=wilsobi03,163
Bill Zepp,Bill,,Zepp,,,https://www.baseball-almanac.com/players/player.php?p=zeppbi01,164
Billy Beane,Billy,,Beane,,,https://www.baseball-almanac.com/players/player.php?p=beanebi01,165
Billy Campbell,Billy,,Campbell,,,https://www.baseball-almanac.com/players/player.php?p=campbbi01,166
Billy Conigliaro,Billy,,Conigliaro,,,https://www.baseball-almanac.com/players/player.php?p=conigbi01,167
Billy Cowan,Billy,,Cowan,,,https://www.baseball-almanac.com/players/player.php?p=cowanbi01,168
Billy Grabarkewitz,Billy,,Grabarkewitz,,,https://www.baseball-almanac.com/players/player.php?p=grababi01,169
Billy Harris,Billy,,Harris,,,https://www.baseball-almanac.com/players/player.php?p=harribi04,170
Billy Hatcher,Billy,,Hatcher,,,https://www.baseball-almanac.com/players/player.php?p=hatchbi01,171
