card_year,card_num,card_stat_year,card_desc,card_notes,card_player_id
1984,323,1983,Alan Knicely,,33
1986,418,1985,Alan Knicely,,33
1979,358,1978,Alan Trammell,,34
1980,232,1979,Alan Trammell,,34
1981,709,1980,Alan Trammell,,34
1982,475,1981,Alan Trammell,,34
1983,95,1982,Alan Trammell,,34
1984,510,1983,Alan Trammell,,34
1985,690,1984,Alan Trammell,,34
1986,130,1985,Alan Trammell,,34
1987,687,1986,Alan Trammell,,34
1988,320,1987,Alan Trammell,,34
1988,389,1987,Alan Trammell,A.L. All-Star,34
1989,400,1988,Alan Trammell,All Star,34
1989,770,1988,Alan Trammell,,34
1983,251,1982,Alan Wiggins,,35
1984,693,1983,Alan Wiggins,,35
1985,378,1984,Alan Wiggins,,35
1986,508,1985,Alan Wiggins,,35
1985,676,1984,Albert Hall,,36
1988,213,1987,Albert Hall,,36
1989,433,1988,Albert Hall,,36
1981,569,1980,Albert Williams,,37
1984,183,1983,Albert Williams,,37
1984,324,1983,Alejandro Pena,,38
1985,110,1984,Alejandro Pena,,38
1986,665,1985,Alejandro Pena,,38
1987,787,1986,Alejandro Pena,,38
1988,277,1987,Alejandro Pena,,38
1989,57,1988,Alejandro Pena,,38
1986,563,1985,Alejandro Sanchez,,39
1976,606,1975,Alex Grammas,Milwaukee Brewers Checklist Card,
1977,51,1976,Alex Grammas,Milwaukee Brewers Team Checklist,
1970,115,1969,Alex Johnson,,40
1971,590,1970,Alex Johnson,,40
1972,215,1971,Alex Johnson,,40
1973,215,1972,Alex Johnson,,40
1974,107,1973,Alex Johnson,,40
1975,534,1974,Alex Johnson,,40
1977,637,1976,Alex Johnson,,40
1980,537,1979,Alex Trevino,Rookie Card,41
1981,23,1980,Alex Trevino,,41
1982,368,1981,Alex Trevino,,41
1983,632,1982,Alex Trevino,,41
1984,242,1983,Alex Trevino,,41
1985,747,1984,Alex Trevino,,41
1986,444,1985,Alex Trevino,,41
1987,173,1986,Alex Trevino,,41
1988,512,1987,Alex Trevino,,41
1989,64,1988,Alex Trevino,,41
1988,101,1987,Alf Anderson,,42
1987,642,1986,Alfonso Pulido,Al on Card,43
1980,558,1979,Alfredo Griffin,,44
1981,277,1980,Alfredo Griffin,,44
1982,677,1981,Alfredo Griffin,,44
1983,488,1982,Alfredo Griffin,,44
1984,76,1983,Alfredo Griffin,,44
1985,361,1984,Alfredo Griffin,,44
1986,566,1985,Alfredo Griffin,,44
1987,111,1986,Alfredo Griffin,,44
1988,726,1987,Alfredo Griffin,,44
1989,62,1988,Alfredo Griffin,,44
1987,336,1986,Allan Anderson,Rookie Card,45
1989,672,1988,Allan Anderson,,45
1984,347,1983,Allan Ramirez,,46
1980,413,1979,Allen Ripley,,47
1981,144,1980,Allen Ripley,,47
1982,529,1981,Allen Ripley,,47
1983,73,1982,Allen Ripley,,47
1987,529,1986,Alvaro Espinoza,Rookie Card,48
1970,524,1969,Alvin Dark,,49
1971,397,1970,Alvin Dark,Manager,49
1975,561,1974,Alvin Dark,Oakland A's Team Photo,49
1978,467,1977,Alvin Dark,Manager,49
1985,145,1984,Alvin Davis,,50
1986,440,1985,Alvin Davis,,50
1987,235,1986,Alvin Davis,,50
1988,785,1987,Alvin Davis,,50
1989,687,1988,Alvin Davis,,50
1970,354,1969,Amos Otis,,51
1971,610,1970,Amos Otis,,51
1972,10,1971,Amos Otis,,51
1973,10,1972,Amos Otis,,51
1974,65,1973,Amos Otis,,51
1975,520,1974,Amos Otis,,51
1976,510,1975,Amos Otis,,51
1977,290,1976,Amos Otis,,51
1978,490,1977,Amos Otis,,51
1979,360,1978,Amos Otis,,51
1980,130,1979,Amos Otis,,51
1981,585,1980,Amos Otis,,51
1982,725,1981,Amos Otis,,51
1982,726,1981,Amos Otis,In Action,51
1983,75,1982,Amos Otis,,51
1984,655,1983,Amos Otis,,51
1985,43,1984,Andre David,,52
1978,72,1977,Andre Dawson,,53
1979,348,1978,Andre Dawson,,53
1980,235,1979,Andre Dawson,,53
1981,125,1980,Andre Dawson,,53
1982,341,1981,Andre Dawson,National League All-Star,53
1982,540,1981,Andre Dawson,,53
1983,402,1982,Andre Dawson,All-Star Card,53
1983,680,1982,Andre Dawson,,53
1984,200,1983,Andre Dawson,,53
1984,201,1983,Andre Dawson,,53
1984,392,1983,Andre Dawson,All-Star,53
1985,420,1984,Andre Dawson,,53
1986,576,1985,Andre Dawson,Expos Leaders,53
1986,760,1985,Andre Dawson,,53
1987,345,1986,Andre Dawson,,53
1988,401,1987,Andre Dawson,N.L. All-Star,53
1988,500,1987,Andre Dawson,,53
1989,4,1988,Andre Dawson,Record Breaker,53
1989,10,1988,Andre Dawson,,53
1989,391,1988,Andre Dawson,All Star,53
1983,281,1982,Andre Robertson,,54
1984,592,1983,Andre Robertson,,54
1985,354,1984,Andre Robertson,,54
1986,738,1985,Andre Robertson,,54
1975,39,1974,Andre Thornton,,55
1976,26,1975,Andre Thornton,,55
1978,148,1977,Andre Thornton,,55
1979,280,1978,Andre Thornton,,55
1980,534,1979,Andre Thornton,,55
1981,388,1980,Andre Thornton,,55
1982,746,1981,Andre Thornton,,55
1983,640,1982,Andre Thornton,,55
1984,115,1983,Andre Thornton,,55
1985,475,1984,Andre Thornton,,55
1986,59,1985,Andre Thornton,,55
1986,336,1985,Andre Thornton,Indians Leaders,55
1987,780,1986,Andre Thornton,,55
1987,272,1986,Andres Galarraga,,56
1988,25,1987,Andres Galarraga,,56
1989,386,1988,Andres Galarraga,All Star,56
1989,590,1988,Andres Galarraga,,56
1977,646,1976,Andres Mora,,57
1978,517,1977,Andres Mora,,57
1979,287,1978,Andres Mora,,57
1987,296,1986,Andres Thomas,Rookie Card,58
1988,13,1987,Andres Thomas,,58
1989,171,1988,Andres Thomas,Braves Leaders,58
1989,523,1988,Andres Thomas,,58
1987,436,1986,Andy Allanson,Rookie Card,59
1988,728,1987,Andy Allanson,,59
1989,283,1988,Andy Allanson,,59
1989,437,1988,Andy Benes,#1 Draft Pick,60
1970,213,1969,Andy Etchebarren,,61
1971,501,1970,Andy Etchebarren,,61
1972,26,1971,Andy Etchebarren,,61
1973,26,1972,Andy Etchebarren,,61
1974,488,1973,Andy Etchebarren,,61
1975,583,1974,Andy Etchebarren,,61
1976,129,1975,Andy Etchebarren,,61
1977,454,1976,Andy Etchebarren,,61
1978,313,1977,Andy Etchebarren,,61
1975,261,1974,Andy Hassler,Rookie Card,62
1976,207,1975,Andy Hassler,,62
1977,602,1976,Andy Hassler,,62
1978,73,1977,Andy Hassler,,62
1979,696,1978,Andy Hassler,,62
1980,353,1979,Andy Hassler,,62
1981,454,1980,Andy Hassler,,62
1982,94,1981,Andy Hassler,,62
1983,573,1982,Andy Hassler,,62
1984,719,1983,Andy Hassler,,62
1984,778,1983,Andy Hawkins,,63
1985,299,1984,Andy Hawkins,,63
1986,478,1985,Andy Hawkins,,63
1987,183,1986,Andy Hawkins,,63
1988,9,1987,Andy Hawkins,,63
1989,533,1988,Andy Hawkins,,63
1970,535,1969,Andy Kosco,,64
1971,746,1970,Andy Kosco,,64
1972,376,1971,Andy Kosco,,64
1973,376,1972,Andy Kosco,,64
1974,34,1973,Andy Kosco,,64
1984,31,1983,Andy McGaffigan,,65
1985,323,1984,Andy McGaffigan,,65
1986,133,1985,Andy McGaffigan,,65
1987,742,1986,Andy McGaffigan,,65
1988,488,1987,Andy McGaffigan,,65
1989,278,1988,Andy McGaffigan,,65
1970,430,1969,Andy Messersmith,,66
